soție	soț	N	nevastă,soție	soț,partener	Femeie măritată consideratăîn raport cu bărbatul ei	(La pl.) Cele două persoane de sex opus unite prin căsătorie.	3.42	4.22
temă	sarcină	N	chestiune,problemă,treabă,temă	sarcină,obligație,proiect	Problemă, temă etc. de care se preocupă cineva	Orice acțiune care este încercată sau dusă la îndeplinire în cadrul unei munci.	3.42	6.52
noapte	zori	N	întunecime,noapte	zori	Stare de tristețe, de suferință morală, de apăsare.;	(la pl.) începutul unei perioade de timp, al unei epoci	3.0	0.47
cină	supă	N	cină	supă	Masa de seară. " Cina de ieri a fost cu pește ".	Fiertură de carne, de legume sau de carne cu legume, uneori cu adaos de tăiței, fidea etc.	2.42	1.63
vițel	taur	N	vițel	taur	Puiul (mascul al) vacii, până la vârsta de circa un an	Mascul necastrat din specia taurinelor, cu capul mare, pielea groasă, părul de pe frunte lung și adesea creț	2.19	2.95
zăpadă	furtună	N	ninsoare,zăpadă	furtună,vijelie	precipitație atmosferică solidă sub formă de fulgi albi, alcătuiți din cristale de apă înghețată	Vânt foarte puternic, adesea însoțit de descărcări electrice și de precipitații atmosferice	2.42	1.23
unghie	mână	N	unghie	mână,palmă	Lamă cărnoasă care crește pe partea de deasupra a ultimei falange a degetelor de la mâini și de la picioare, la om.	Partea dinăuntru a mâinii, de la încheietura cu antebrațul până la vârful degetelor.;	2.0	1.73
câine	cal	N	câine	cal	Animal mamifer carnivor domesticit, folosit pentru pază, vânătoare etc..	Masculul speciei Equus caballus	2.42	0.53
braț	gât	N	braț,mână	gât,grumaz	Segment cuprins între cot și umăr al membrului superior al corpului omenesc; partea de la umăr până la încheietura mâinii	Parte a corpului (la om și la unele animale) care unește capul cu trunchiul.	2.42	0.72
minge	mănușă	N	balon,minge	mănușă	Obiect sferic (rar ovoidal), de diverse dimensiuni și greutăți, confecționat din cauciuc, piele, celuloid, material plastic etc. (umplut cu aer), care se folosește în diferite jocuri (sportive), în gimnastica medicală etc.; balon.;	Obiect de îmbrăcăminte confecționat din lână, tricot, piele, cauciuc etc., care acoperă mâinile, protejându-le.	2.42	0.42
gripă	febră	N	gripă,influență	febră	boală infecțioasă și contagioasă, de natură virotică, localizată la nivelul aparatului respirator, care se manifestă prin starea generală proastă, febră, inflamația căilor respiratorii superioare, dureri musculare și de cap etc.	Temperatură ridicată a corpului, care constituie reacția organismului la un agent infecțios, toxic etc.	1.54	3.4
taxă	salariu	N	taxă	leafă,remunerație,retribuție,salariu	Sumă de bani percepută pentru anumite mărfuri, la încheierea unor contracte, în schimbul unor servicii sau pentru dobândirea anumitor drepturi.	retribuție (în bani) pe care o primește regulat o persoană pentru munca îndeplinită ca angajat permanent	2.0	0.53
nerv	creier	N	nerv,inervație	creier	distribuție a nervilor într-un organ sau țesut	Partea cea mai importantă a sistemului nervos central la animale, organ al gândirii și al conștiinței la om, situat în cutia craniană și compus din trunchiul cerebral, creierul mic și emisferele cerebrale.	1.68	2.77
bestie	animal	N	brută,bestie,animal	brută,bestie,animal	Om brutal, grosolan, josnic, care se poartă ca un animal	Om brutal, grosolan, josnic, care se poartă ca un animal	4.0	4.9
cină	pui	N	cină	pui	grup de oameni adunați laolaltă pentru a lua masa de seară împreună	Pui de animal	1.68	1.53
fată	slujnică	N	copilă,fată	fată_în_casă,slujnică	Fată tânără (după ce a trecut de vârsta copilăriei)	Femeie angajată pentru a munci în familia sau în gospodăria altuia	2.0	2.13
copil	băiat	N	băiat,copil,fecior,fiu,flăcău	băiat,copil,fecior,fiu,flăcău	Persoană de sex bărbătesc, considerată în raport cu părinții săi	Persoană de sex bărbătesc, considerată în raport cu părinții săi	4.0	3.58
alcool	vin	N	alcool,băutură_alcoolică	vin	băutură ce conține alcool	Băutură alcoolică (de 7-16 %) obținută prin fermentarea mustului de struguri sau, (prin generalizare), prin fermentarea altor fructe.	3.42	4.78
nas	gură	N	nas	gură	Proeminență a unei piese, care servește la fixarea piesei într-o anumită poziție sau la ghidarea, ridicarea sau distanțarea unei alte piese.	deschizătura circulară de la capătul țevii unei arme de foc, prin care iese glonțul	2.0	1.45
stradă	mașină	N	stradă	mașină,mașinărie	Locuitorii unei străzi .	(figurativ) (De obicei urmat de determinări)) Ansamblu de mijloace folosite într-un anumit scop (reprobabil).	2.0	1.45
sonerie	ușă	N	sonerie	ușă,intrare,număr	Buton care, prin apăsare, declanșează funcționarea unei sonerii.	spațiu de locuit sau de lucru (de obicei numerotat de-a lungul unei străzi)	1.54	2.02
cutie	pălărie	N	cutie,cutie_de_viteze	pălărie	Cutie metalică în care se află dispozitivul de schimbare a vitezei la autovehicule	Obiect folosit pentru acoperirea capului, format dintr-o calotă de pâslă, de paie, de pânză etc. (cu boruri).	1.83	0.38
credință	părere	N	credință,gând,impresie,opinie,părere,sentiment,senzație	credință,gând,impresie,opinie,părere,sentiment,senzație	o credință personală care nu se bazează pe realități obiective	o credință personală care nu se bazează pe realități obiective	4.0	3.58
prejudecată	opinie	N	prejudecată	credință,gând,impresie,opinie,părere,sentiment,senzație	Părere, idee preconcepută (și adesea eronată) pe care și-o face cineva asupra unui lucru, adoptată, de obicei, fără cunoașterea directă a faptelor	o credință personală care nu se bazează pe realități obiective	3.42	4.18
atenție	conștientizare	N	atenție	conștientizare,relizare	procesul prin care o persoană se concentrează asupra unor particularități ale mediului, excluzându-le pe celelalte	Faptul de a înțelege un lucru meditând asupra acelui lucru; acțiunea de a conștientiza și rezultatul ei;	2.0	4.57
mânie	stare	N	enervare,furie,mânie	dispoziție,stare_de_spirit,stare,situație	Tensiune nervoasă caracterizată prin neliniște, nerăbdare, agitație, iritare, înfuriere.	starea emoțională a unei persoane	3.0	2.98
eleganță	stil	N	eleganță	fel,gen,manieră,mod,modalitate,stil	Calitatea de a fi elegant, de a avea sau de a fi făcut cu gust, cu rafinament, cu grație	cum se face sau se întâmplă ceva	2.42	6.48
frumusețe	vârstă	N	frumusețe	vârstă	Însușirea a ceea ce este frumos.	timpul cât ceva a existat	2.19	1.6
carte	temă	N	bilet,carte,carte_poștală	subiect,temă	Bilet, scrisoare, carte de vizită, ilustrată, special imprimate, prin care cineva este felicitat.;	Chestiune, temă despre care vorbește sau scrie cineva	2.19	1.48
prietenă	mamă	N	iubită,prietenă,parteneră	maică,mamă	Persoană feminină care este în relații de dragoste cu o persoană se sex opus	Femeie considerată în raport cu copiii ei (de asemenea numele pe care i-l dau copiii acestei femei când i se adresează sau când vorbesc despre dânsa)	2.0	2.58
vitamină	fier	N	vitamină	fe,fier,număr_atomic_26	Nume dat unor compuși organici indispensabili vieții, care se găsesc în alimente sau se separă sintetic, cu rol esențial în menținerea proceselor celulare vitale	Element chimic, metal greu, de culoare cenușie, maleabil, ductil, cu proprietăți feromagnetice, care, aliat cu carbonul sau cu alte elemente, se folosește pe scară largă în industrie	1.83	2.95
mașină	fabrică	N	mașină	fabrică,uzină	dispozitiv mecanic sau electric care transmite sau transformă energia	Întreprindere industrială care folosește un sistem de mașini și de instalații tehnice în vederea executării operațiilor de transformare a materiei prime în produse finite, în serie și în cantități mari	1.83	1.38
pact	condiție	N	acord,înțelegere,învoială,pact,tranzacție	condiție,prevedere,stipulație,termen	Înțelegere (scrisă) între două părți	(Mai ales la pl.) Indicație, dispoziție dintr-un tratat, dintr-un act normativ etc.	2.68	3.83
capitol	alegere	N	capitol	alegere,opțiune	Fiecare dintre diviziunile mai mari ale unei lucrări științifice, literare, ale unei legi etc.	Faptul sau dreptul de a alege din două sau mai multe lucruri, posibilități etc. pe acela sau pe aceea care îți convinge	1.68	0.72
aritmetică	ritm	N	aritmetică	ritm,ritmul_vorbirii	Parte a matematicii care se ocupă cu proprietățile elementare ale numerelor	aranjarea cuvintelor alternând elementele accentuate și neaccentuate	0.91	0.1
câștigător	prezență	N	câștigător	existență,prezență	Persoană care câștigă ceva, de obicei permanent	Faptul de a exista, a fi real	1.54	0.43
credință	floare	N	confesiune,credință,cult,religie,rit	floare	Convingere despre existența uneia sau mai multor forțe supranaturale;	Orice plantă (erbacee) care face flori colorate	1.42	0.03
câștigător	scop	N	câștigător	finalitate,scop	Persoană care câștigă ceva, de obicei permanent	Scop în vederea căruia are loc o activitate.	1.42	1.17
alegere	stare	N	alegere,elecție	stare	Faptul de a fi ales	mod, fel, chip în care se prezintă cineva sau ceva.	3.0	0.78
imn	cucerire	N	imn,odă	cucerire,ocupație,ocupare	Specie a poeziei lirice (formată din strofe cu aceeași formă și cu aceeași structură metrică), în care se exprimă elogiul, entuziasmul sau admirația față de persoane, de fapte eroice, idealuri etc.	acțiunea de a cuceri	1.3	0.78
rezistență	elastic	N	rezistență,rezistor	elastic,bandă_elastică	element de circuit electric cu inductivitate și capacitate neglijabile, dar care, având rezistență electrică, poate fi introdus într-un circuit electric	Țesătură, șnur, șiret etc. executate din fire de cauciuc îmbrăcate în fire textile și folosite la confecționarea unor obiecte de îmbrăcăminte.	2.42	1.85
închisoare	alegere	N	închisoare,penitenciar	alegere,opțiune	Clădire, loc în care sunt închiși cei condamnați la pedepse privative de libertate sau cei deținuți preventiv (DEX)	Faptul sau dreptul de a alege din două sau mai multe lucruri, posibilități etc. pe acela sau pe aceea care îți convinge	1.09	0.38
condiție	băiat	N	condiție,factor,agent	băiat	Element, condiție, împrejurare care determină apariția unui proces, a unei acțiuni, a unui fenomen.	Copil de sex bărbătesc	2.42	0.22
floare	rezistență	N	floare	rezistență,rezistor	Orice plantă (erbacee) care face flori colorate	element de încălzire într-un radiator electric	1.54	0.1
gaură	înțelegere	N	gaură	înțelegere,cunoaștere,cogniție	Scobitură, adâncitură, spărtură ivită de la sine sau anume făcută într-un corp, într-un material, în pământ etc.	facultatea de a cunoaște	1.68	0
doctor	calm	N	doctor,doctorat	tihnă,pace,tihnire,calm	titlu de doctor (2) obținut în urma examenului de doctorat (1.2)	calitatea de a fi tihnit, liniștitor	1.42	1.35
frăție	ușă	N	frăție,frățietate	ușă,intrare,număr	Legătură de rudenie între frați	spațiu de locuit sau de lucru (de obicei numerotat de-a lungul unei străzi)	1.77	0.03
îndatorire	femeie	N	sarcină,îndatorire	femeie	Sarcină obligatorie de a face ceva	(articulat hotărât) toate femeile, femeia în general. Expresie : Ziua Femeii : 8 Martie	1.54	0.97
frăție	baseball	N	frăție,frățietate	baseball	Legătură de rudenie între frați	joc sportiv (la americani) între două echipe a câte 9 jucători, asemănător cu oina	2.5	0.6
cent	mărime	N	cent	lungime,mărime	Monedă divizionară în câteva țări	gradul până la care se întinde ceva	1.54	0.47
prezență	ușă	N	existență,prezență	ușă,intrare,număr	Faptul de a exista, a fi real	spațiu de locuit sau de lucru (de obicei numerotat de-a lungul unei străzi)	1.42	0.15
sarcină	autostradă	N	sarcină,încărcătură,încărcare	autostradă	(Concr.) Ceea ce transportă sau poate transporta un vehicul, un vapor sau o ființă	cale rutieră modernă, formată din două șosele cu mai multe benzi, rezervată exclusiv autovehiculelor	2.19	0.13
lichior	secol	N	lichior	secol,veac	Băutură alcoolică preparată din spirt, sirop de zahăr și esențe aromatice.	interval de timp de o sută de ani.	1.19	0.07
sarcină	pai	N	sarcină,încărcătură,încărcare	pai	(Concr.) Ceea ce transportă sau poate transporta un vehicul, un vapor sau o ființă	Tub subțire din material plastic sau hârtie cu care se sorb unele băuturi.	2.0	0
insulă	sarcină	N	insulă	sarcină,încărcătură,încărcare	Întindere de pământ înconjurată din toate părțile de apă, situată fie într-un ocean, mare sau lac, fie în cadrul albiei unei ape curgătoare.	(Concr.) Ceea ce transportă sau poate transporta un vehicul, un vapor sau o ființă	2.0	0
noapte	capitol	N	întunecime,noapte	capitol	Stare de tristețe, de suferință morală, de apăsare.;	perioadă distinctă în istorie sau în viața unei persoane	2.68	0.25
poluare	președinte	N	poluare,viciere	președinte	stare nedorită a mediului natural în care acesta este contaminat de substanțe dăunătoare ca urmare a activității omului	persoană care prezidează o adunare, o dezbatere, o comisie etc.	1.42	0.35
dietă	măr	N	dietă	măr	Alimentația obișnuită a unui om sau animal	Fruct al mărului, de formă rotundă-turtită și de diferite culori	1.54	1.88
cent	soție	N	cent	nevastă,soție	Monedă divizionară în câteva țări	Femeie măritată consideratăîn raport cu bărbatul ei	1.0	0.03
capitol	coadă	N	capitol	coadă	Fiecare dintre diviziunile mai mari ale unei lucrări științifice, literare, ale unei legi etc.	linia ce formează lungimea unei săgeți	1.68	0.1
curs	stomac	N	albie,curs,matcă,vad	stomac	Porțiune a unei văi, acoperită permanent sau temporar cu apă.	Parte a aparatului digestiv, la om și la animalele superioare, în formă de pungă, situată între esofag și duoden, în care se face digestia alimentelor	1.83	0.15
